	black_rockcod.fa	stickleback
OG0000928	XP_010792793.1, XP_010792794.1, XP_010794196.1	ENSGACP00000009351.1, ENSGACP00000015463.1
OG0000929	XP_010792798.1, XP_010792799.1	ENSGACP00000005926.1, ENSGACP00000005955.1, ENSGACP00000005983.1
OG0000930	XP_010792895.1, XP_010792896.1, XP_010792898.1, XP_010792899.1	ENSGACP00000006501.1
OG0000931	XP_010792907.1, XP_010792908.1, XP_010792909.1	ENSGACP00000013886.1, ENSGACP00000013893.1
OG0000932	XP_010792978.1, XP_010792979.1, XP_010792980.1, XP_010792981.1	ENSGACP00000007812.1
OG0000933	XP_010793190.1, XP_010793191.1	ENSGACP00000013355.1, ENSGACP00000013358.1, ENSGACP00000013370.1
OG0000934	XP_010793248.1, XP_010793250.1, XP_010793251.1	ENSGACP00000023063.1, ENSGACP00000023065.1
OG0000935	XP_010793313.1, XP_010793315.1, XP_010793316.1, XP_010793317.1	ENSGACP00000012258.2
OG0000936	XP_010793379.1, XP_010793380.1, XP_010793382.1, XP_010793383.1	ENSGACP00000027343.1
OG0000937	XP_010793466.1, XP_010793467.1	ENSGACP00000005950.1, ENSGACP00000005977.1, ENSGACP00000005986.1
OG0000938	XP_010793481.1, XP_010793482.1, XP_010793483.1	ENSGACP00000022855.1, ENSGACP00000022858.1
OG0000939	XP_010793530.1, XP_010793531.1, XP_010793532.1, XP_010793533.1	ENSGACP00000008824.1
OG0000940	XP_010793570.1, XP_010793571.1, XP_010793572.1, XP_010793573.1	ENSGACP00000012391.1
OG0000941	XP_010793663.1, XP_010793664.1, XP_010793665.1	ENSGACP00000019861.1, ENSGACP00000019866.1
OG0000942	XP_010793698.1, XP_010793699.1	ENSGACP00000022217.1, ENSGACP00000022220.1, ENSGACP00000022223.1
OG0000943	XP_010794133.1, XP_010794134.1	ENSGACP00000026716.1, ENSGACP00000026717.1, ENSGACP00000026718.1
OG0000944	XP_010794146.1, XP_010794149.1, XP_010794150.1	ENSGACP00000006628.1, ENSGACP00000006634.1
OG0000945	XP_010794153.1, XP_010794154.1	ENSGACP00000006565.1, ENSGACP00000006572.1, ENSGACP00000006578.1
OG0000946	XP_010794216.1	ENSGACP00000021380.1, ENSGACP00000021381.1, ENSGACP00000021382.1, ENSGACP00000021389.1
OG0000947	XP_010794252.1, XP_010794253.1	ENSGACP00000011278.1, ENSGACP00000011283.1, ENSGACP00000011309.1
OG0000948	XP_010794258.1, XP_010794259.1, XP_010794260.1, XP_010794262.1	ENSGACP00000011356.1
OG0000949	XP_010794277.1, XP_010794916.1	ENSGACP00000023941.1, ENSGACP00000023943.1, ENSGACP00000023946.1
OG0000950	XP_010794513.1, XP_010794514.1, XP_010794515.1, XP_010794516.1	ENSGACP00000008748.1
OG0000951	XP_010794563.1, XP_010794564.1, XP_010794565.1	ENSGACP00000008891.1, ENSGACP00000008898.1
OG0000952	XP_010794641.1, XP_010794642.1, XP_010794643.1	ENSGACP00000027037.1, ENSGACP00000027038.1
OG0000953	XP_010794705.1, XP_010794706.1, XP_010794707.1	ENSGACP00000021520.1, ENSGACP00000021525.1
OG0000954	XP_010794732.1, XP_010794733.1, XP_010794734.1, XP_010794735.1	ENSGACP00000006810.1
OG0000955	XP_010794853.1	ENSGACP00000023920.1, ENSGACP00000023923.1, ENSGACP00000023925.1, ENSGACP00000023929.1
OG0000956	XP_010794917.1, XP_010794918.1	ENSGACP00000011175.1, ENSGACP00000011184.1, ENSGACP00000011189.1
OG0000957	XP_010795006.1	ENSGACP00000008963.1, ENSGACP00000008979.1, ENSGACP00000009004.1, ENSGACP00000009021.1
OG0000958	XP_010795146.1, XP_010795148.1, XP_010795149.1, XP_010795150.1	ENSGACP00000007385.1
OG0000959	XP_010795208.1, XP_010795209.1	ENSGACP00000010407.1, ENSGACP00000010432.1, ENSGACP00000010446.1
OG0000960	XP_010795221.1, XP_010795222.1	ENSGACP00000024378.1, ENSGACP00000024383.1, ENSGACP00000024385.1
OG0000961	XP_010795225.1, XP_010795226.1	ENSGACP00000025453.1, ENSGACP00000025454.1, ENSGACP00000025456.1
OG0000962	XP_010795240.1, XP_010795247.1, XP_010795256.1, XP_010795264.1	ENSGACP00000024238.1
OG0000963	XP_010795296.1	ENSGACP00000024228.1, ENSGACP00000024231.1, ENSGACP00000024233.1, ENSGACP00000024234.1
OG0000964	XP_010795306.1, XP_010795307.1, XP_010795309.1, XP_010795310.1	ENSGACP00000011422.1
OG0000965	XP_010795353.1, XP_010795355.1, XP_010795356.1, XP_010795357.1	ENSGACP00000009244.1
OG0000966	XP_010795405.1, XP_010795406.1, XP_010795407.1, XP_010795408.1	ENSGACP00000008111.1
OG0000967	XP_010795483.1, XP_010795484.1, XP_010795485.1	ENSGACP00000008025.1, ENSGACP00000008029.1
OG0000968	XP_010795678.1	ENSGACP00000010925.1, ENSGACP00000010931.1, ENSGACP00000010949.1, ENSGACP00000010966.1
OG0000969	XP_010795714.1, XP_010795715.1, XP_010795716.1	ENSGACP00000015572.1, ENSGACP00000015576.1
OG0000970	XP_010795790.1, XP_010795833.1	ENSGACP00000023965.1, ENSGACP00000027620.1, ENSGACP00000027621.1
OG0000971	XP_010796118.1	ENSGACP00000015160.1, ENSGACP00000015176.1, ENSGACP00000015429.1, ENSGACP00000015437.1
OG0000972	XP_010796125.1, XP_010796126.1, XP_010796128.1	ENSGACP00000021426.1, ENSGACP00000021428.1
OG0000973		ENSGACP00000001760.1, ENSGACP00000005897.1, ENSGACP00000006279.1, ENSGACP00000018046.1, ENSGACP00000018048.1
OG0000974	XP_010764076.1, XP_010764077.1, XP_010764078.1	ENSGACP00000016309.1
OG0000975	XP_010764136.1, XP_010764137.1, XP_010764139.1	ENSGACP00000015834.1
OG0000976	XP_010764182.1	ENSGACP00000007973.1, ENSGACP00000007982.1, ENSGACP00000007986.1
OG0000977	XP_010764215.1, XP_010764216.1, XP_010764217.1	ENSGACP00000015670.1
OG0000978	XP_010764218.1, XP_010778598.1	ENSGACP00000015698.1, ENSGACP00000022479.1
OG0000979	XP_010764251.1	ENSGACP00000001424.1, ENSGACP00000001432.1, ENSGACP00000014596.1
OG0000980	XP_010764329.1	ENSGACP00000003123.1, ENSGACP00000003126.1, ENSGACP00000003129.1
OG0000981	XP_010764348.1, XP_010764349.1, XP_010764350.1	ENSGACP00000008777.1
OG0000982	XP_010764356.1, XP_010764362.1	ENSGACP00000013840.1, ENSGACP00000013846.1
OG0000983	XP_010764357.1	ENSGACP00000026999.1, ENSGACP00000027000.1, ENSGACP00000027001.1
OG0000984	XP_010764414.1, XP_010784811.1	ENSGACP00000017179.1, ENSGACP00000019983.1
OG0000985	XP_010764417.1, XP_010764418.1	ENSGACP00000025031.1, ENSGACP00000025032.1
OG0000986	XP_010764437.1, XP_010764438.1, XP_010764439.1	ENSGACP00000005508.1
OG0000987	XP_010764471.1, XP_010764472.1, XP_010764474.1	ENSGACP00000009548.1
OG0000988	XP_010764476.1, XP_010764477.1, XP_010764479.1	ENSGACP00000009529.1
OG0000989	XP_010764488.1, XP_010764489.1, XP_010764490.1	ENSGACP00000009399.1
OG0000990	XP_010764499.1, XP_010774627.1	ENSGACP00000009494.1, ENSGACP00000010961.1
OG0000991	XP_010764526.1, XP_010792425.1	ENSGACP00000000096.2, ENSGACP00000000097.1
OG0000992	XP_010764536.1, XP_010764542.1, XP_010764550.1	ENSGACP00000023565.1
OG0000993	XP_010764546.1, XP_010764547.1, XP_010764548.1	ENSGACP00000025310.1
OG0000994	XP_010764561.1, XP_010767111.1	ENSGACP00000025316.1, ENSGACP00000025849.1
OG0000995	XP_010764611.1, XP_010764613.1, XP_010764614.1	ENSGACP00000011128.1
OG0000996	XP_010764612.1	ENSGACP00000023547.1, ENSGACP00000023552.1, ENSGACP00000023554.1
OG0000997	XP_010764632.1, XP_010764633.1, XP_010764634.1	ENSGACP00000017727.1
OG0000998	XP_010764644.1, XP_010775018.1	ENSGACP00000007496.1, ENSGACP00000017819.1
OG0000999	XP_010764646.1, XP_010764647.1, XP_010764648.1	ENSGACP00000017830.1
OG0001000	XP_010764655.1, XP_010766494.1	ENSGACP00000026356.1, ENSGACP00000026848.1
OG0001001	XP_010764661.1, XP_010764662.1, XP_010764663.1	ENSGACP00000014446.1
OG0001002	XP_010764689.1	ENSGACP00000010865.1, ENSGACP00000019008.1, ENSGACP00000019011.1
OG0001003	XP_010764698.1, XP_010771263.1	ENSGACP00000006917.1, ENSGACP00000008383.1
OG0001004	XP_010764722.1, XP_010764723.1, XP_010764724.1	ENSGACP00000023013.1
OG0001005	XP_010764728.1, XP_010764729.1	ENSGACP00000022960.1, ENSGACP00000022963.1
OG0001006	XP_010764744.1, XP_010784269.1	ENSGACP00000000021.1, ENSGACP00000000914.2
OG0001007	XP_010764835.1	ENSGACP00000006827.1, ENSGACP00000007262.1, ENSGACP00000007267.1
OG0001008	XP_010764838.1, XP_010764839.1	ENSGACP00000000902.1, ENSGACP00000000905.1
OG0001009	XP_010764872.1, XP_010764879.1	ENSGACP00000003428.1, ENSGACP00000003433.1
OG0001010	XP_010764882.1, XP_010764883.1	ENSGACP00000024601.1, ENSGACP00000024657.1
OG0001011	XP_010764885.1	ENSGACP00000016131.1, ENSGACP00000016132.1, ENSGACP00000016925.1
OG0001012	XP_010764890.1, XP_010764897.1, XP_010764906.1	ENSGACP00000015898.1
OG0001013	XP_010764891.1, XP_010788161.1	ENSGACP00000008247.1, ENSGACP00000008396.1
OG0001014	XP_010764895.1, XP_010794004.1	ENSGACP00000009462.1, ENSGACP00000023072.1
OG0001015	XP_010764904.1, XP_010768829.1	ENSGACP00000001934.2, ENSGACP00000008203.1
OG0001016	XP_010764943.1, XP_010764944.1, XP_010764945.1	ENSGACP00000013060.1
OG0001017	XP_010764948.1, XP_010764949.1, XP_010764950.1	ENSGACP00000012989.1
OG0001018	XP_010764969.1, XP_010764970.1	ENSGACP00000012852.1, ENSGACP00000012854.1
OG0001019	XP_010764981.1, XP_010764982.1	ENSGACP00000012773.1, ENSGACP00000012777.1
OG0001020	XP_010765018.1, XP_010771903.1	ENSGACP00000000993.1, ENSGACP00000016736.1
OG0001021	XP_010765043.1, XP_010765112.1, XP_010765179.1	ENSGACP00000014939.1
OG0001022	XP_010765066.1, XP_010765067.1	ENSGACP00000019185.1, ENSGACP00000019191.1
OG0001023	XP_010765111.1, XP_010781259.1	ENSGACP00000004841.1, ENSGACP00000004848.1
OG0001024	XP_010765165.1, XP_010790728.1	ENSGACP00000005128.1, ENSGACP00000017057.1
OG0001025	XP_010765221.1, XP_010765222.1, XP_010765223.1	ENSGACP00000026511.1
OG0001026	XP_010765231.1	ENSGACP00000001917.1, ENSGACP00000001921.1, ENSGACP00000001928.1
OG0001027	XP_010765307.1	ENSGACP00000010801.1, ENSGACP00000010812.1, ENSGACP00000010820.1
OG0001028	XP_010765383.1, XP_010769267.1, XP_010791111.1	ENSGACP00000025043.1
OG0001029	XP_010765407.1, XP_010765408.1	ENSGACP00000002779.1, ENSGACP00000002783.1
OG0001030	XP_010765413.1	ENSGACP00000002793.1, ENSGACP00000019730.1, ENSGACP00000019743.1
OG0001031	XP_010765423.1	ENSGACP00000021953.1, ENSGACP00000021956.1, ENSGACP00000021958.1
OG0001032	XP_010765425.1, XP_010765426.1	ENSGACP00000015130.1, ENSGACP00000015134.1
OG0001033	XP_010765440.1, XP_010765441.1, XP_010765442.1	ENSGACP00000015007.2
OG0001034	XP_010765443.1, XP_010765444.1, XP_010765445.1	ENSGACP00000020541.1
OG0001035	XP_010765462.1, XP_010765463.1, XP_010765464.1	ENSGACP00000008610.1
OG0001036	XP_010765491.1, XP_010772640.1, XP_010786147.1	ENSGACP00000025941.1
OG0001037	XP_010765507.1, XP_010791560.1	ENSGACP00000003400.1, ENSGACP00000012744.1
OG0001038	XP_010765522.1, XP_010765523.1, XP_010765524.1	ENSGACP00000007457.1
OG0001039	XP_010765574.1, XP_010774602.1	ENSGACP00000006509.1, ENSGACP00000022036.1
OG0001040	XP_010765581.1, XP_010765582.1, XP_010765583.1	ENSGACP00000006110.1
OG0001041	XP_010765612.1	ENSGACP00000008859.1, ENSGACP00000008865.1, ENSGACP00000008870.1
OG0001042	XP_010765632.1, XP_010788349.1	ENSGACP00000015355.1, ENSGACP00000024911.1
OG0001043	XP_010765658.1, XP_010791118.1	ENSGACP00000004812.1, ENSGACP00000004845.1
OG0001044	XP_010765697.1, XP_010769732.1	ENSGACP00000017710.1, ENSGACP00000018535.1
OG0001045	XP_010765714.1, XP_010791206.1	ENSGACP00000010137.1, ENSGACP00000010663.1
OG0001046	XP_010765726.1, XP_010795713.1	ENSGACP00000002320.1, ENSGACP00000020476.1
OG0001047	XP_010765759.1, XP_010765766.1	ENSGACP00000018413.1, ENSGACP00000018418.1
OG0001048	XP_010765825.1	ENSGACP00000020383.1, ENSGACP00000020629.1, ENSGACP00000020631.1
OG0001049	XP_010765868.1, XP_010782193.1	ENSGACP00000003766.1, ENSGACP00000019658.1
OG0001050	XP_010765869.1, XP_010765877.1	ENSGACP00000004743.1, ENSGACP00000004749.1
OG0001051	XP_010765872.1, XP_010786413.1, XP_010786414.1	ENSGACP00000015657.3
OG0001052	XP_010765899.1, XP_010791174.1	ENSGACP00000026313.1, ENSGACP00000026854.1
OG0001053	XP_010765901.1, XP_010765902.1, XP_010765903.1	ENSGACP00000006595.1
OG0001054	XP_010765977.1	ENSGACP00000007055.1, ENSGACP00000026282.1, ENSGACP00000026286.1
OG0001055	XP_010766018.1, XP_010766025.1	ENSGACP00000013241.1, ENSGACP00000013245.1
OG0001056	XP_010766051.1, XP_010766058.1, XP_010782437.1	ENSGACP00000005392.1
OG0001057	XP_010766078.1, XP_010774178.1, XP_010784242.1	ENSGACP00000008603.1
OG0001058	XP_010766081.1, XP_010766082.1, XP_010766083.1	ENSGACP00000026695.1
OG0001059	XP_010766131.1	ENSGACP00000004138.1, ENSGACP00000004157.1, ENSGACP00000004167.1
OG0001060	XP_010766141.1	ENSGACP00000023389.1, ENSGACP00000023391.2, ENSGACP00000023393.1
OG0001061	XP_010766192.1, XP_010789532.1	ENSGACP00000004317.1, ENSGACP00000015625.1
OG0001062	XP_010766194.1, XP_010766195.1, XP_010766196.1	ENSGACP00000004363.3
OG0001063	XP_010766204.1, XP_010766205.1, XP_010766206.1	ENSGACP00000019748.1
OG0001064	XP_010766244.1, XP_010766245.1	ENSGACP00000023259.1, ENSGACP00000023261.1
OG0001065	XP_010766253.1, XP_010766254.1	ENSGACP00000023233.1, ENSGACP00000023235.1
OG0001066	XP_010766264.1, XP_010766265.1	ENSGACP00000020417.1, ENSGACP00000020418.1
OG0001067	XP_010766266.1	ENSGACP00000020402.1, ENSGACP00000020404.1, ENSGACP00000020407.1
OG0001068	XP_010766288.1, XP_010766289.1	ENSGACP00000017122.1, ENSGACP00000017130.1
OG0001069	XP_010766292.1, XP_010766301.1, XP_010766309.1	ENSGACP00000008613.1
OG0001070	XP_010766304.1, XP_010784703.1	ENSGACP00000010995.1, ENSGACP00000017292.1
OG0001071	XP_010766336.1, XP_010766337.1, XP_010766338.1	ENSGACP00000025573.1
OG0001072	XP_010766348.1, XP_010766349.1	ENSGACP00000017498.1, ENSGACP00000017501.1
OG0001073	XP_010766370.1, XP_010793452.1	ENSGACP00000001395.1, ENSGACP00000006036.1
OG0001074	XP_010766371.1, XP_010766372.1	ENSGACP00000001388.1, ENSGACP00000001394.1
OG0001075	XP_010766388.1	ENSGACP00000012965.1, ENSGACP00000012972.1, ENSGACP00000012990.1
OG0001076	XP_010766397.1, XP_010766398.1, XP_010766399.1	ENSGACP00000011851.1
OG0001077	XP_010766413.1, XP_010780609.1	ENSGACP00000002397.1, ENSGACP00000023187.1
OG0001078	XP_010766414.1, XP_010776965.1	ENSGACP00000013707.1, ENSGACP00000013710.1
OG0001079	XP_010766430.1, XP_010766497.1, XP_010766567.1	ENSGACP00000015147.1
OG0001080	XP_010766496.1, XP_010766498.1	ENSGACP00000004512.1, ENSGACP00000004515.1
OG0001081	XP_010766502.1, XP_010766503.1, XP_010766504.1	ENSGACP00000006901.1
OG0001082	XP_010766513.1, XP_010766518.1	ENSGACP00000009510.1, ENSGACP00000009515.1
OG0001083	XP_010766523.1, XP_010766524.1	ENSGACP00000007204.1, ENSGACP00000007210.1
OG0001084	XP_010766531.1, XP_010789048.1	ENSGACP00000011058.1, ENSGACP00000022655.1
OG0001085	XP_010766563.1, XP_010766564.1, XP_010766565.1	ENSGACP00000007201.1
OG0001086	XP_010766586.1, XP_010767310.1	ENSGACP00000002874.1, ENSGACP00000002875.1
OG0001087	XP_010766594.1, XP_010766595.1	ENSGACP00000022636.1, ENSGACP00000022639.1
OG0001088	XP_010766597.1	ENSGACP00000010282.1, ENSGACP00000010285.1, ENSGACP00000022629.1
OG0001089	XP_010766604.1, XP_010779047.1	ENSGACP00000022032.2, ENSGACP00000022620.1
OG0001090	XP_010766654.1, XP_010766655.1	ENSGACP00000018229.1, ENSGACP00000018231.1
OG0001091	XP_010766664.1	ENSGACP00000006739.1, ENSGACP00000006744.1, ENSGACP00000006753.1
OG0001092	XP_010766680.1, XP_010766688.1, XP_010766695.1	ENSGACP00000026250.1
OG0001093	XP_010766681.1	ENSGACP00000012383.1, ENSGACP00000012412.2, ENSGACP00000012426.1
OG0001094	XP_010766689.1, XP_010766690.1, XP_010766691.1	ENSGACP00000024438.1
OG0001095	XP_010766766.1, XP_010766768.1, XP_010766769.1	ENSGACP00000004430.1
OG0001096	XP_010766813.1	ENSGACP00000010649.1, ENSGACP00000026068.1, ENSGACP00000026069.1
OG0001097	XP_010766821.1, XP_010766822.1, XP_010766823.1	ENSGACP00000011573.1
OG0001098	XP_010766844.1, XP_010766845.1	ENSGACP00000020978.1, ENSGACP00000020980.1
OG0001099	XP_010766925.1	ENSGACP00000024437.2, ENSGACP00000024441.1, ENSGACP00000024443.1
OG0001100	XP_010766957.1, XP_010766958.1, XP_010766959.1	ENSGACP00000021191.1
OG0001101	XP_010766989.1, XP_010766997.1, XP_010767004.1	ENSGACP00000017843.1
OG0001102	XP_010767026.1, XP_010770954.1	ENSGACP00000009376.1, ENSGACP00000012767.1
OG0001103	XP_010767054.1	ENSGACP00000001155.1, ENSGACP00000001159.1, ENSGACP00000001161.1
OG0001104	XP_010767088.1, XP_010767089.1, XP_010767090.1	ENSGACP00000001407.1
OG0001105	XP_010767128.1, XP_010767129.1, XP_010767130.1	ENSGACP00000022923.1
OG0001106	XP_010767139.1, XP_010767140.1	ENSGACP00000002901.1, ENSGACP00000002905.1
OG0001107	XP_010767143.1, XP_010767145.1, XP_010767146.1	ENSGACP00000002865.1
OG0001108	XP_010767148.1, XP_010767149.1, XP_010767150.1	ENSGACP00000002833.1
OG0001109	XP_010767152.1, XP_010767154.1, XP_010767155.1	ENSGACP00000002847.1
OG0001110	XP_010767156.1, XP_010767157.1	ENSGACP00000002815.1, ENSGACP00000002818.1
OG0001111	XP_010767243.1, XP_010767248.1	ENSGACP00000016252.1, ENSGACP00000016264.1
OG0001112	XP_010767279.1, XP_010767280.1, XP_010767281.1	ENSGACP00000024087.3
OG0001113	XP_010767287.1, XP_010767288.1, XP_010767289.1	ENSGACP00000024074.1
OG0001114	XP_010767298.1	ENSGACP00000008409.1, ENSGACP00000008414.1, ENSGACP00000008418.1
OG0001115	XP_010767305.1, XP_010767311.1	ENSGACP00000016282.1, ENSGACP00000016289.1
OG0001116	XP_010767328.1	ENSGACP00000015033.1, ENSGACP00000015039.1, ENSGACP00000015044.1
OG0001117	XP_010767340.1, XP_010781363.1	ENSGACP00000013771.1, ENSGACP00000020523.1
OG0001118	XP_010767348.1, XP_010767349.1, XP_010767350.1	ENSGACP00000000220.3
OG0001119	XP_010767388.1	ENSGACP00000007065.1, ENSGACP00000007075.1, ENSGACP00000007077.1
OG0001120	XP_010767392.1, XP_010771246.1, XP_010781824.1	ENSGACP00000001962.1
OG0001121	XP_010767401.1, XP_010770036.1	ENSGACP00000005291.2, ENSGACP00000005295.1
OG0001122	XP_010767453.1, XP_010767454.1, XP_010767455.1	ENSGACP00000015461.1
OG0001123	XP_010767491.1, XP_010767493.1, XP_010767494.1	ENSGACP00000010125.1
OG0001124	XP_010767505.1, XP_010770965.1	ENSGACP00000009552.1, ENSGACP00000018060.1
OG0001125	XP_010767536.1, XP_010767537.1	ENSGACP00000012916.1, ENSGACP00000012929.1
OG0001126	XP_010767556.1, XP_010767557.1, XP_010767558.1	ENSGACP00000019094.1
OG0001127	XP_010767620.1, XP_010795574.1	ENSGACP00000015469.1, ENSGACP00000027202.1
OG0001128	XP_010767624.1	ENSGACP00000026245.1, ENSGACP00000026247.1, ENSGACP00000026248.1
OG0001129	XP_010767651.1, XP_010770970.1	ENSGACP00000009572.1, ENSGACP00000017975.1
OG0001130	XP_010767659.1, XP_010790984.1	ENSGACP00000005284.1, ENSGACP00000008106.1
OG0001131	XP_010767752.1	ENSGACP00000022238.1, ENSGACP00000022241.1, ENSGACP00000022247.1
OG0001132	XP_010767762.1	ENSGACP00000024669.1, ENSGACP00000027321.1, ENSGACP00000027322.1
OG0001133	XP_010767802.1, XP_010767803.1	ENSGACP00000004232.1, ENSGACP00000004235.1
OG0001134	XP_010767806.1, XP_010781745.1	ENSGACP00000015480.1, ENSGACP00000015484.1
OG0001135	XP_010767810.1	ENSGACP00000001019.1, ENSGACP00000001023.1, ENSGACP00000001025.1
OG0001136	XP_010767825.1, XP_010767826.1, XP_010767827.1	ENSGACP00000011232.1
OG0001137	XP_010767871.1	ENSGACP00000017917.1, ENSGACP00000017921.1, ENSGACP00000017924.1
OG0001138	XP_010767899.1, XP_010767900.1	ENSGACP00000008825.1, ENSGACP00000008832.1
OG0001139	XP_010767913.1	ENSGACP00000006903.1, ENSGACP00000006913.1, ENSGACP00000006920.1
OG0001140	XP_010767933.1, XP_010767934.1, XP_010767936.1	ENSGACP00000022140.1
OG0001141	XP_010767948.1, XP_010767956.1, XP_010767967.1	ENSGACP00000017858.1
OG0001142	XP_010768000.1	ENSGACP00000006054.1, ENSGACP00000006068.1, ENSGACP00000006074.1
OG0001143	XP_010768010.1, XP_010793050.1	ENSGACP00000000362.1, ENSGACP00000000385.1
OG0001144	XP_010768105.1, XP_010775697.1	ENSGACP00000019447.1, ENSGACP00000019449.1
OG0001145	XP_010768113.1, XP_010768115.1	ENSGACP00000010266.1, ENSGACP00000010273.1
OG0001146	XP_010768131.1, XP_010782935.1	ENSGACP00000021620.1, ENSGACP00000024860.1
OG0001147	XP_010768137.1, XP_010768138.1	ENSGACP00000024543.1, ENSGACP00000024546.1
OG0001148	XP_010768142.1, XP_010768143.1, XP_010768144.1	ENSGACP00000011126.1
OG0001149	XP_010768171.1	ENSGACP00000000566.1, ENSGACP00000007827.1, ENSGACP00000026175.2
OG0001150	XP_010768237.1, XP_010768246.1, XP_010768253.1	ENSGACP00000000007.1
OG0001151	XP_010768309.1, XP_010791827.1	ENSGACP00000003776.1, ENSGACP00000005634.1
OG0001152	XP_010768321.1, XP_010768322.1, XP_010768323.1	ENSGACP00000014864.1
OG0001153	XP_010768337.1, XP_010768344.1	ENSGACP00000016403.1, ENSGACP00000016414.3
OG0001154	XP_010768338.1, XP_010787279.1	ENSGACP00000013139.1, ENSGACP00000013146.1
OG0001155	XP_010768367.1, XP_010793825.1	ENSGACP00000007639.1, ENSGACP00000021271.1
OG0001156	XP_010768422.1	ENSGACP00000023262.1, ENSGACP00000023264.1, ENSGACP00000023267.1
OG0001157	XP_010768428.1, XP_010768429.1	ENSGACP00000025473.1, ENSGACP00000025475.1
OG0001158	XP_010768431.1, XP_010769623.1	ENSGACP00000025465.1, ENSGACP00000025466.1
OG0001159	XP_010768438.1, XP_010768439.1, XP_010768440.1	ENSGACP00000003631.1
OG0001160	XP_010768478.1, XP_010768479.1, XP_010768481.1	ENSGACP00000017547.1
OG0001161	XP_010768536.1, XP_010793623.1	ENSGACP00000021527.1, ENSGACP00000021528.1
OG0001162	XP_010768591.1	ENSGACP00000007797.1, ENSGACP00000007809.1, ENSGACP00000007816.1
OG0001163	XP_010768659.1, XP_010795025.1	ENSGACP00000008983.1, ENSGACP00000010721.1
OG0001164	XP_010768664.1, XP_010768665.1	ENSGACP00000005850.1, ENSGACP00000005861.1
OG0001165	XP_010768688.1	ENSGACP00000003282.2, ENSGACP00000003286.1, ENSGACP00000003288.1
OG0001166	XP_010768716.1, XP_010768717.1, XP_010768718.1	ENSGACP00000020412.1
OG0001167	XP_010768735.1, XP_010768736.1, XP_010768737.1	ENSGACP00000020473.1
OG0001168	XP_010768760.1, XP_010771137.1	ENSGACP00000010907.1, ENSGACP00000020521.1
OG0001169	XP_010768920.1, XP_010768921.1, XP_010768922.1	ENSGACP00000024758.1
OG0001170	XP_010768925.1, XP_010768926.1, XP_010768927.1	ENSGACP00000024749.1
OG0001171	XP_010768945.1, XP_010768947.1, XP_010768951.1	ENSGACP00000012014.1
OG0001172	XP_010769005.1, XP_010774837.1, XP_010774838.1	ENSGACP00000017352.1
OG0001173	XP_010769086.1, XP_010769087.1	ENSGACP00000004667.1, ENSGACP00000004673.1
OG0001174	XP_010769106.1, XP_010769107.1	ENSGACP00000008585.1, ENSGACP00000008591.1
OG0001175	XP_010769115.1	ENSGACP00000006419.1, ENSGACP00000006423.1, ENSGACP00000006431.1
OG0001176	XP_010769129.1, XP_010769130.1, XP_010769131.1	ENSGACP00000012662.1
OG0001177	XP_010769153.1	ENSGACP00000020990.1, ENSGACP00000020993.1, ENSGACP00000020994.1
OG0001178	XP_010769213.1, XP_010769214.1	ENSGACP00000019822.1, ENSGACP00000019824.1
OG0001179	XP_010769217.1, XP_010773672.1	ENSGACP00000005964.1, ENSGACP00000015278.1
OG0001180	XP_010769221.1, XP_010769222.1	ENSGACP00000026888.1, ENSGACP00000026889.1
OG0001181	XP_010769223.1, XP_010769224.1	ENSGACP00000010645.1, ENSGACP00000010652.1
OG0001182	XP_010769225.1, XP_010778470.1	ENSGACP00000010092.1, ENSGACP00000016932.1
OG0001183	XP_010769283.1, XP_010780664.1	ENSGACP00000010154.1, ENSGACP00000025010.1
OG0001184	XP_010769291.1, XP_010774611.1	ENSGACP00000013151.1, ENSGACP00000013160.1
OG0001185	XP_010769343.1, XP_010769345.1, XP_010769346.1	ENSGACP00000006172.1
OG0001186	XP_010769380.1, XP_010769387.1	ENSGACP00000005330.1, ENSGACP00000005335.1
OG0001187	XP_010769406.1, XP_010769407.1, XP_010769409.1	ENSGACP00000025585.1
OG0001188	XP_010769447.1, XP_010769448.1, XP_010769449.1	ENSGACP00000005151.1
OG0001189	XP_010769451.1, XP_010769452.1, XP_010769453.1	ENSGACP00000005142.1
OG0001190	XP_010769461.1, XP_010783268.1	ENSGACP00000005081.1, ENSGACP00000007547.1
OG0001191	XP_010769462.1	ENSGACP00000005040.1, ENSGACP00000005047.1, ENSGACP00000005051.1
OG0001192	XP_010769472.1, XP_010769473.1	ENSGACP00000019811.1, ENSGACP00000019816.1
OG0001193	XP_010769479.1, XP_010769481.1, XP_010769482.1	ENSGACP00000026897.1
OG0001194	XP_010769594.1, XP_010780127.1	ENSGACP00000004478.1, ENSGACP00000019895.1
OG0001195	XP_010769608.1, XP_010769610.1	ENSGACP00000027257.1, ENSGACP00000027258.1
OG0001196	XP_010769635.1	ENSGACP00000021553.1, ENSGACP00000021560.1, ENSGACP00000021563.1
OG0001197	XP_010769647.1, XP_010769648.1, XP_010769649.1	ENSGACP00000014641.1
OG0001198	XP_010769660.1, XP_010782533.1, XP_010782534.1	ENSGACP00000010560.1
OG0001199	XP_010769679.1	ENSGACP00000020400.1, ENSGACP00000020408.1, ENSGACP00000020411.1
OG0001200	XP_010769726.1, XP_010769734.1	ENSGACP00000026488.1, ENSGACP00000026489.1
